0 1.26506
1 1.20641
2 1.33318
3 0.953757
4 1.70349
5 1.44577
6 1.53061
7 0.922618
8 0.659934
9 1.41085
10 1.36174
11 1.2765
12 1.45843
13 1.534
14 1.63112
15 1.49721
16 1.65127
17 1.59819
18 0.9139
19 1.66116
20 1.32177
21 0.541712
22 1.62914
23 0.898868
24 1.85723
25 1.4844
26 1.26488
27 -1.21799
28 -0.814566
29 -1.47362
30 -1.43837
31 -1.50412
32 -1.53182
33 -1.48751
34 -1.3605
35 -1.38897
36 -1.56271
37 -1.0347
38 -1.32604
39 -1.27346
40 -1.39592
41 -1.81715
42 -1.12804
43 -1.29726
44 -1.29723
45 -1.40415
46 -1.4829
47 -0.887112
48 -1.45003
49 -1.33167
50 -1.38122
51 -1.29876
52 -1.61631
53 -1.65463
54 -1.14497
55 -1.26211
56 -1.04282
57 -1.56015
58 -1.39888
59 -0.867369
60 -1.13945
61 -1.33934
62 -1.06997
63 -1.2431
64 -1.23562
65 -1.36003
66 -0.292504
67 -1.83349
68 -1.79071
69 -1.42815
70 -1.562
71 -1.94633
72 -0.209689
73 0.835984
74 1.26154
75 1.399
76 1.45063
77 1.57353
78 0.617514
79 1.13901
80 1.53655
81 1.86886
82 1.29927
83 1.25657
84 1.45088
85 1.55607
86 1.62373
87 1.43656
88 1.27565
89 1.29249
90 1.17047
91 1.32152
92 1.15805
93 1.48227
94 1.03323
95 0.72666
96 1.62444
97 1.32884
98 1.31792
99 -0.979113
